epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,332.336,0.56087,0.39399,0.97056,0.99521,0.99277,0.99229,0.92458,0.43336,0.22108,0.87198,0.000136187,0.000136187,0.000136187
81,336.357,0.57996,0.40136,0.9537,0.99469,0.99262,0.99215,0.93351,0.39273,0.21807,0.85526,0.00013,0.00013,0.00013
82,340.375,0.58636,0.40681,0.98491,0.99604,0.99237,0.99224,0.92581,0.41216,0.21336,0.86321,0.000123812,0.000123812,0.000123812
83,344.34,0.56932,0.40141,0.96427,0.99558,0.99054,0.99234,0.91512,0.4355,0.21658,0.87043,0.000117625,0.000117625,0.000117625
84,348.319,0.59008,0.42392,0.97696,0.99551,0.99083,0.99221,0.90716,0.44853,0.22043,0.87077,0.000111438,0.000111438,0.000111438
85,352.277,0.57229,0.41362,0.9783,0.9958,0.99136,0.99217,0.92802,0.40379,0.2139,0.86306,0.00010525,0.00010525,0.00010525
86,356.251,0.54572,0.38876,0.95365,0.99615,0.99241,0.99223,0.93163,0.40093,0.21294,0.8644,9.90625e-05,9.90625e-05,9.90625e-05
87,360.229,0.56208,0.39997,0.96525,0.99556,0.99252,0.99233,0.92377,0.41219,0.21424,0.86756,9.2875e-05,9.2875e-05,9.2875e-05
88,364.205,0.57569,0.40821,0.95852,0.99482,0.99242,0.99241,0.92155,0.44728,0.22346,0.883,8.66875e-05,8.66875e-05,8.66875e-05
89,368.165,0.5802,0.39794,0.97643,0.9949,0.9924,0.99247,0.90754,0.47337,0.22975,0.88948,8.05e-05,8.05e-05,8.05e-05
90,372.121,0.58536,0.42005,0.97828,0.99573,0.99254,0.99248,0.88485,0.52311,0.24087,0.89664,7.43125e-05,7.43125e-05,7.43125e-05
91,376.745,0.53522,0.29485,0.93096,0.99736,0.99225,0.99245,0.8342,0.70228,0.27998,0.96865,6.8125e-05,6.8125e-05,6.8125e-05
92,380.696,0.50216,0.28321,0.91568,0.99677,0.992,0.99238,0.80895,0.81547,0.30243,1.02195,6.19375e-05,6.19375e-05,6.19375e-05
93,384.644,0.50619,0.27896,0.8974,0.99602,0.99208,0.99238,0.84678,0.68076,0.27335,0.95591,5.575e-05,5.575e-05,5.575e-05
94,388.588,0.48317,0.26586,0.90311,0.99551,0.99209,0.99234,0.90383,0.46827,0.228,0.87482,4.95625e-05,4.95625e-05,4.95625e-05
95,392.527,0.43092,0.25125,0.87947,0.99561,0.992,0.99226,0.92237,0.42508,0.21621,0.86595,4.3375e-05,4.3375e-05,4.3375e-05
96,396.47,0.43872,0.26236,0.8829,0.99598,0.99204,0.99221,0.91913,0.42612,0.2114,0.86663,3.71875e-05,3.71875e-05,3.71875e-05
97,400.41,0.46801,0.25796,0.90602,0.99606,0.99206,0.99219,0.91421,0.43585,0.21014,0.86861,3.1e-05,3.1e-05,3.1e-05
98,404.344,0.42789,0.25138,0.87777,0.99616,0.99234,0.9922,0.92812,0.40858,0.20421,0.86054,2.48125e-05,2.48125e-05,2.48125e-05
99,408.292,0.43658,0.24182,0.90576,0.99632,0.99232,0.99226,0.93976,0.38935,0.19835,0.85441,1.8625e-05,1.8625e-05,1.8625e-05
100,412.304,0.44947,0.24672,0.89978,0.99633,0.99232,0.9923,0.94046,0.38409,0.19678,0.85213,1.24375e-05,1.24375e-05,1.24375e-05
