epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,137.388,0.9666,0.85959,0.89233,0.96026,0.95037,0.97975,0.73185,0.92482,0.62863,0.87911,7.43125e-05,7.43125e-05,7.43125e-05
91,139.162,0.90707,0.8974,0.89519,0.95256,0.95815,0.97876,0.73095,0.92501,0.63247,0.87741,6.8125e-05,6.8125e-05,6.8125e-05
92,140.494,0.90026,0.88952,0.88513,0.95477,0.95195,0.97972,0.72331,0.94249,0.63992,0.87913,6.19375e-05,6.19375e-05,6.19375e-05
93,141.825,0.90893,0.87388,0.87729,0.95936,0.94698,0.97952,0.7261,0.92787,0.64438,0.87692,5.575e-05,5.575e-05,5.575e-05
94,143.15,0.88591,0.84181,0.88333,0.95474,0.95355,0.98036,0.73915,0.88353,0.63309,0.86918,4.95625e-05,4.95625e-05,4.95625e-05
95,144.642,0.88575,0.82831,0.87881,0.96107,0.94901,0.98115,0.743,0.87039,0.63541,0.86701,4.3375e-05,4.3375e-05,4.3375e-05
96,145.978,0.90507,0.854,0.87923,0.93905,0.96904,0.97966,0.74524,0.86331,0.63708,0.86617,3.71875e-05,3.71875e-05,3.71875e-05
97,147.306,0.89394,0.84878,0.88687,0.9546,0.95978,0.98147,0.74688,0.86991,0.6386,0.86823,3.1e-05,3.1e-05,3.1e-05
98,148.672,0.87677,0.84336,0.88242,0.95838,0.95839,0.98102,0.74142,0.88364,0.63621,0.87074,2.48125e-05,2.48125e-05,2.48125e-05
99,150.001,0.87441,0.82894,0.88522,0.94273,0.97259,0.98093,0.74264,0.88189,0.63468,0.87005,1.8625e-05,1.8625e-05,1.8625e-05
100,151.33,0.87901,0.83759,0.88562,0.94646,0.97263,0.9812,0.74074,0.88168,0.63115,0.86945,1.24375e-05,1.24375e-05,1.24375e-05
